Airport Code,Companyia aèria,Destinació,Estat,Info,Porta,Sortida,Terminal,Vol
ANR,Excellent Air,Amsterdam (AMS),aterrat,,,20:00,,
LGG,American Airlines,Dallas (DFW),en ruta,,L5,15:00,3,AA2257
LGG,ITA Airways,Roma (FCO),previstretardat,,,15:0015:10,5,AZ629
LGG,China Airlines,Nagoya (NGO),en ruta,,,15:00,,CI5313
LGG,American Airlines,Toronto (YYZ),en ruta,,H3A,15:00,3,AA3610
LGG,American Airlines,Charlotte (CLT),en ruta,,H8,15:01,3,AA627
LGG,American Airlines,Fort Wayne (FWA),previst,,G3,15:02,3,AA4096
LGG,United AirlinesAir CanadaAustrian,Indianàpolis (IND),previstretardat,,C25,15:0215:24,1,UA 1248AC 3508OS 7734
LGG,American Airlines,Appleton (ATW),previstretardat,,H3A,15:0515:25,3,AA4315
LGG,American Airlines,Nashville (BNA),previst,,H3A,15:05,3,AA4339
LGG,American Airlines,Columbus (CMH),previstretardat,,G20,15:0515:25,3,AA3542
LGG,American Airlines,Rochester (ROC),previstretardat,,G7,15:0515:25,3,AA3451
LGG,American Airlines,Traverse City (TVC),previstretardat,,H3A,15:0515:25,3,AA3408
LGG,American Airlines,Kansas City (MCI),previstretardat,,H8,15:1015:32,3,AA1779
LGG,American Airlines,Los Angeles (LAX),previstretardat,,L3,15:1515:36,3,AA529
LGG,American Airlines,Memphis (MEM),previst,,L6B,15:15,3,AA4987
LGG,American Airlines,Miami (MIA),previst,,H14,15:15,3,AA1135
LGG,Frontier Airlines,Atlanta (ATL),previstretardat,,,15:1615:56,5,F91442
LGG,American Airlines,Lexington (LEX),previstretardat,,G8,15:1615:36,3,AA4201
LGG,American Airlines,Boston (BOS),previstretardat,,L7,15:2015:42,3,AA3160
LGG,American Airlines,Denver (DEN),previstretardat,,L5,15:2415:45,3,AA2375
LGG,American Airlines,Windsor Locks (BDL),previst,,L22,15:25,3,AA3941
LGG,American Airlines,Little Rock (LIT),previst,,G14,15:27,3,AA3501
LGG,Delta Air Lines,Boston (BOS),previstretardat,,M5,15:3015:49,5,DL2677
LGG,American Airlines,Fayetteville (XNA),previst,,K10,15:30,3,AA1112
LGG,Delta Air Lines,Minneapolis (MSP),previstretardat,,M8,15:3315:52,5,DL1533
LGG,United Airlines,Appleton (ATW),previst,,E1,15:35,2,UA5521
LGG,United Airlines,Cedar Rapids (CID),previst,,F21,15:35,2,UA4388
LGG,United Airlines,Roma (FCO),previst,,C16,15:35,1,UA970
LGG,United Airlines,Fort Wayne (FWA),previst,,B24,15:35,1,UA5832
LGG,United Airlines,Green Bay (GRB),previst,,F5,15:35,2,UA4739
LGG,United Airlines,Grand Rapids (GRR),previstretardat,,,15:3515:47,2,UA5250
LGG,United Airlines,Indianàpolis (IND),previst,,C3,15:35,1,UA3690
LGG,SkyWest Airlines,Moline (MLI),previst,,E5,15:35,2,OO5495
LGG,United Airlines,Madison (MSN),previstretardat,,F19,15:3515:57,2,UA4605
LGG,Lufthansa,Munic (MUC),previstretardat,,,15:3515:48,1,LH437
LGG,American Airlines,Peoria (PIA),previst,,H4,15:35,3,AA4949
LGG,SkyWest Airlines,Peoria (PIA),previstretardat,,F6,15:3515:57,2,OO5874
LGG,United Airlines,San Francisco (SFO),previstretardat,,B6,15:3515:57,1,UA1863
LGG,Air Canada,Mont-real (YUL),previstretardat,,E5,15:3515:56,2,AC8964
LGG,Air Canada,Vancouver (YVR),previstretardat,,E2,15:3515:45,2,AC1049
LGG,United AirlinesAir Canada,Nova York (EWR),previst,,C9,15:40,1,UA 2216AC 5104
LGG,Alaska Airlines,Seattle (SEA),previst,,E17,15:44,2,AS407
LGG,United Airlines,Denver (DEN),previst,,C18,15:45,1,UA1801
LGG,Aer Lingus,Dublín (DUB),previstretardat,,,15:4516:03,3,EI122
LGG,United Airlines,Harrisburg (MDT),previstretardat,,B1,15:4516:07,1,UA3413
LGG,SkyWest Airlines,Salina (SLN),previst,,F22,15:45,2,OO5108
LGG,United Airlines,Zuric (ZRH),previstretardat,,C21,15:4516:05,1,UA3
LGG,American Airlines,Nova York (EWR),previstretardat,,G14,15:4616:10,3,AA3354
LGG,United AirlinesAir New ZealandCopa AirlinesAir CanadaLufthansaBrussels Airlines,Kansas City (MCI),previst,,C17,15:50,1,UA 310NZ 2688CM 2844AC 3627LH 7933SN 8880
LGG,United Airlines,Saint Louis (STL),previst,,F27,15:50,2,UA4518
LGG,Air Canada,Toronto (YYZ),previstretardat,,E3,15:5016:00,2,AC508
LGG,United Airlines,Houston (IAH),previst,,B11,15:52,1,UA1124
LGG,Atlas Air,Anchorage (ANC),previst,,,15:55,,5Y517
LGG,United AirlinesAir New ZealandAir CanadaANALufthansaBrussels Airlines,Los Angeles (LAX),previstretardat,,B9,15:5516:17,1,UA 576NZ 2666AC 3675NH 7397LH 7653SN 8826
LGG,United Airlines,South Bend (SBN),previst,,F23,15:55,2,UA5505
LGG,United AirlinesAir CanadaAir China LTDVirgin AustraliaAir New Zealand,Omaha (OMA),previstretardat,,C30,15:5716:19,1,UA 1332AC 5036CA 7275VA 8045NZ 9661
LGG,American Airlines,Washington (DCA),previstretardat,,L9,15:5816:23,3,AA2999
LGG,United Airlines,Anchorage (ANC),previst,,C28,15:59,1,UA450
LGG,Delta Air Lines,Nova York (JFK),previstretardat,,,15:5916:14,5,DL5645
LGG,Lufthansa,Frankfurt del Main (FRA),previstretardat,,,16:0016:36,1,LH431
LGG,Cathay Pacific,Hong Kong (HKG),previst,,,16:00,5,CX801
LGG,United Airlines,Nova York (LGA),previst,,B8,16:00,1,UA1946
LGG,American Airlines,Nova York (LGA),previst,,K8,16:00,3,AA2826
LGG,Southwest Airlines,Orlando (MCO),previstretardat,,M28,16:0016:03,5,WN241
LGG,United Airlines,Minneapolis (MSP),previst,,F10,16:00,2,UA5307
LGG,United AirlinesAir New ZealandAir CanadaANALufthansa,Santa Ana (SNA),previst,,B19,16:00,1,UA 592NZ 2152AC 4570NH 7251LH 8567
LGG,American Airlines,Raleigh (RDU),previstretardat,,H10,16:0116:24,3,AA533
LGG,JetBlue Airways,Nova York (JFK),previst,,G2,16:03,3,B6906
LGG,United Airlines,Milwaukee (MKE),previstretardat,,F14,16:0416:28,2,UA5225
LGG,United Airlines,Londres (LHR),previstretardat,,C11,16:0516:24,1,UA929
LGG,United Airlines,Phoenix (PHX),previstretardat,,C26,16:0516:27,1,UA511
LGG,Aeromexico,Ciutat de Mèxic (MEX),previstretardat,,,16:0616:32,5,AM687
LGG,United AirlinesAir CanadaLufthansa,Fort Myers (RSW),previst,,B4,16:07,1,UA 2605AC 5488LH 9347
LGG,American Airlines,Minneapolis (MSP),previst,,L6A,16:08,3,AA4303
LGG,United Airlines,Fairbanks (FAI),previst,,B12,16:09,1,UA400
LGG,United Airlines,Seattle (SEA),previst,,B21,16:10,1,UA2278
