"destinacio","iata_code_origen","companyia","estat_vol","hora_sortida","hora_original","hora_estimada","minuts_retard","y_retard","lat_origen","lon_origen","lat_desti","lon_desti","distancia_vol_km","companyia_reduida"
"AAE","RBA","Air Algerie","aterrat","18:20",18:20:00,18:20:00,0,FALSE,34.051498,-6.75152,36.826781,7.81334,1355.1276949031,"Altres"
"AAL","AAR","SASKLMAir France","aterrat","23:05",23:05:00,23:05:00,0,FALSE,56.303331,10.618286,57.094763,9.84993,99.8345591894521,"Altres"
"AAL","BLL","SASKLMAir France","aterrat","23:05",23:05:00,23:05:00,0,FALSE,55.740335,9.157019,57.094763,9.84993,156.692603484374,"Altres"
"AAL","GOT","SASKLMAir France","aterrat","23:05",23:05:00,23:05:00,0,FALSE,57.6628,12.2798,57.094763,9.84993,158.92615421496,"Altres"
"AAL","RNN","SASKLMAir France","aterrat","23:05",23:05:00,23:05:00,0,FALSE,55.063301,14.7596,57.094763,9.84993,379.538606129575,"Altres"
"AAL","KUN","SASKLMAir France","en rutaretardat","23:0523:17",23:05:00,23:17:00,12,TRUE,54.9639015197754,24.0848007202148,57.094763,9.84993,914.768001216696,"Altres"
"AAR","KUN","SASAir FranceKLM","en rutaretardat","23:0523:12",23:05:00,23:12:00,7,TRUE,54.9639015197754,24.0848007202148,56.303331,10.618286,857.794648872605,"Altres"
"AAR","GOT","SASAir FranceKLM","aterrat","23:05",23:05:00,23:05:00,0,FALSE,57.6628,12.2798,56.303331,10.618286,181.810302762717,"Altres"
"AAR","BLL","SASAir FranceKLM","aterrat","23:05",23:05:00,23:05:00,0,FALSE,55.740335,9.157019,56.303331,10.618286,110.416712537347,"Altres"
"AAR","AAL","SASAir FranceKLM","aterrat","23:05",23:05:00,23:05:00,0,FALSE,57.094763,9.84993,56.303331,10.618286,99.8345591894521,"Altres"
"AAR","RNN","SASAir FranceKLM","aterrat","23:05",23:05:00,23:05:00,0,FALSE,55.063301,14.7596,56.303331,10.618286,294.217596919932,"Altres"
"ABA","MDL","S7 Airlines","previst","06:25",06:25:00,06:25:00,0,FALSE,21.7021999359131,95.977897644043,53.740002,91.385002,3587.5925921172,"Altres"
"ABA","HKT","Aeroflot","en ruta","00:15",00:15:00,00:15:00,0,FALSE,8.1132,98.316902,53.740002,91.385002,5117.23215463832,"Aeroflot"
"ABA","KSQ","S7 Airlines","en rutaretardat","21:5522:02",21:55:00,22:02:00,7,TRUE,38.802246,65.773068,53.740002,91.385002,2553.61097539919,"Altres"
"ABJ","CUF","Royal Air MarocQatar AirwaysAlitaliaIberiaAmerican Airlines","aterrat","14:05",14:05:00,14:05:00,0,FALSE,44.547001,7.62322,5.26139,-3.92629,4516.0562287055,"Altres"
"ABJ","FNA","South African Airways","aterrat","16:00",16:00:00,16:00:00,0,FALSE,8.61644,-13.1955,5.26139,-3.92629,1090.09367751795,"Altres"
"ABJ","FNA","ASKYEthiopian AirlinesKenya AirwaysEthiopian Airlines","aterrat","15:40",15:40:00,15:40:00,0,FALSE,8.61644,-13.1955,5.26139,-3.92629,1090.09367751795,"Altres"
"ABJ","TML","South African Airways","aterrat","16:00",16:00:00,16:00:00,0,FALSE,9.55718994140625,-0.863214015960693,5.26139,-3.92629,585.626496071066,"Altres"
"ABJ","GVA","Tunisair","aterrat","15:50",15:50:00,15:50:00,0,FALSE,46.238098,6.10895,5.26139,-3.92629,4663.07035883648,"Altres"
"ABJ","TKD","South African Airways","aterrat","16:00",16:00:00,16:00:00,0,FALSE,4.8960599899292,-1.77476000785828,5.26139,-3.92629,242.007933245268,"Altres"
"ABJ","LFW","South African Airways","aterrat","16:00",16:00:00,16:00:00,0,FALSE,6.16561,1.25451,5.26139,-3.92629,582.611966499791,"Altres"
"ABJ","EUN","Royal Air MarocQatar AirwaysAlitaliaIberiaAmerican AirlinesBritish Airways","previst","01:20",01:20:00,01:20:00,0,FALSE,27.142467,-13.224947,5.26139,-3.92629,2627.89614875133,"Altres"
"ABJ","TKD","ASKYEthiopian AirlinesKenya AirwaysEthiopian Airlines","aterrat","15:40",15:40:00,15:40:00,0,FALSE,4.8960599899292,-1.77476000785828,5.26139,-3.92629,242.007933245268,"Altres"
"ABJ","TML","ASKYEthiopian AirlinesKenya AirwaysEthiopian Airlines","aterrat","15:40",15:40:00,15:40:00,0,FALSE,9.55718994140625,-0.863214015960693,5.26139,-3.92629,585.626496071066,"Altres"
"ABJ","BSL","Tunisair","aterrat","15:50",15:50:00,15:50:00,0,FALSE,47.60068,7.521117,5.26139,-3.92629,4838.33780165751,"Altres"
"ABJ","NIM","Tunisair","aterrat","15:50",15:50:00,15:50:00,0,FALSE,13.4815,2.18361,5.26139,-3.92629,1134.38260060403,"Altres"
"ABJ","KMS","South African Airways","aterrat","16:00",16:00:00,16:00:00,0,FALSE,6.71456003189087,-1.59081995487213,5.26139,-3.92629,304.992211002486,"Altres"
"ABJ","CMN","Tunisair","aterrat","15:50",15:50:00,15:50:00,0,FALSE,33.3675,-7.58997,5.26139,-3.92629,3151.69104979973,"Altres"
"ABJ","LFW","ASKYEthiopian AirlinesKenya AirwaysEthiopian Airlines","aterrat","15:40",15:40:00,15:40:00,0,FALSE,6.16561,1.25451,5.26139,-3.92629,582.611966499791,"Altres"
"ABJ","LFW","Emirates","aterrat","13:20",13:20:00,13:20:00,0,FALSE,6.16561,1.25451,5.26139,-3.92629,582.611966499791,"Altres"
"ABJ","CUF","Royal Air MarocQatar AirwaysAlitaliaIberiaAmerican AirlinesBritish Airways","previst","01:20",01:20:00,01:20:00,0,FALSE,44.547001,7.62322,5.26139,-3.92629,4516.0562287055,"Altres"
"ABJ","KMS","ASKYEthiopian AirlinesKenya AirwaysEthiopian Airlines","aterrat","15:40",15:40:00,15:40:00,0,FALSE,6.71456003189087,-1.59081995487213,5.26139,-3.92629,304.992211002486,"Altres"
"ABV","CUF","Royal Air Maroc","previst","01:01",01:01:00,01:01:00,0,FALSE,44.547001,7.62322,9.00679,7.26317,3956.47068702322,"Altres"
